speed_class,cell_type,vr_freq_cat,phase_values_for_norm_current,average_current,se_vchan,current_type
slow,V2aB,45+,0.0499999999999999,0.4665969339643361,0.03705981766459357,excitatory
slow,V2aB,45+,0.0599999999999999,0.47098920251018084,0.038903858422544346,excitatory
slow,V2aB,45+,0.07,0.4721855466867728,0.040696237126632395,excitatory
slow,V2aB,45+,0.08,0.47784029800011585,0.042340091286066125,excitatory
slow,V2aB,45+,0.09,0.4746098922353141,0.043890537012281634,excitatory
slow,V2aB,45+,0.1,0.4759514606187624,0.044641260357860583,excitatory
slow,V2aB,45+,0.11,0.4737365519478651,0.04732152661401151,excitatory
slow,V2aB,45+,0.12,0.46283552771017394,0.04786462531477596,excitatory
slow,V2aB,45+,0.13,0.45003044133902576,0.045182423294806574,excitatory
slow,V2aB,45+,0.14,0.43029581339059075,0.04230164441072426,excitatory
slow,V2aB,45+,0.15,0.40770617906358175,0.03935637104998629,excitatory
slow,V2aB,45+,0.16,0.3942289533995485,0.03856821473346558,excitatory
slow,V2aB,45+,0.17,0.38814165433959436,0.04117818243221695,excitatory
slow,V2aB,45+,0.18,0.37806692595613717,0.04065703768573498,excitatory
slow,V2aB,45+,0.19,0.36936547062047115,0.04028126659646401,excitatory
slow,V2aB,45+,0.2,0.38096415092053293,0.04027154414056682,excitatory
slow,V2aB,45+,0.21,0.3980153460004601,0.0431135414582723,excitatory
slow,V2aB,45+,0.22,0.40929865164008367,0.04590374626952409,excitatory
slow,V2aB,45+,0.23,0.4090974692548683,0.046945896458236325,excitatory
slow,V2aB,45+,0.24,0.39642260806224666,0.04294473299290084,excitatory
slow,V2aB,45+,0.25,0.36820076405154883,0.03619364090493643,excitatory
slow,V2aB,45+,0.26,0.3415740609331153,0.03336813535731378,excitatory
slow,V2aB,45+,0.27,0.3211195050619036,0.03370686219283839,excitatory
slow,V2aB,45+,0.28,0.297484161360023,0.03367851320459486,excitatory
slow,V2aB,45+,0.29,0.2880507802453034,0.03744657731292789,excitatory
slow,V2aB,45+,0.3,0.28737826934262406,0.041520785735915056,excitatory
slow,V2aB,45+,0.31,0.2895555822960326,0.0424055169098996,excitatory
slow,V2aB,45+,0.32,0.2919516937583122,0.042221073530223314,excitatory
slow,V2aB,45+,0.33,0.28927197056513987,0.038475035209934165,excitatory
slow,V2aB,45+,0.34,0.28983429194750054,0.035303058826747724,excitatory
slow,V2aB,45+,0.35,0.29670344476780064,0.03681576465733178,excitatory
slow,V2aB,45+,0.36,0.2868166852714391,0.03469743863243948,excitatory
slow,V2aB,45+,0.37,0.28492244858501314,0.03534234251467135,excitatory
slow,V2aB,45+,0.38,0.2832124609622449,0.03685168495002718,excitatory
slow,V2aB,45+,0.39,0.28058785499888794,0.03755377380356166,excitatory
slow,V2aB,45+,0.4,0.2759825367985822,0.03912623552696036,excitatory
slow,V2aB,45+,0.41,0.2631043998377902,0.03966293378123568,excitatory
slow,V2aB,45+,0.42,0.2600245657755545,0.03980091625189695,excitatory
slow,V2aB,45+,0.43,0.26636170508540447,0.03798670235498521,excitatory
slow,V2aB,45+,0.44,0.27102481123491895,0.035488505510220564,excitatory
slow,V2aB,45+,0.45,0.26752183892118475,0.032909920251437824,excitatory
slow,V2aB,45+,0.46,0.26193671556965004,0.03391078687020811,excitatory
slow,V2aB,45+,0.47,0.24719619577665997,0.036504471390617424,excitatory
slow,V2aB,45+,0.48,0.2398042729789888,0.03891790151478992,excitatory
